Keywords,Title,cluster,categorie
vehicular ad hoc network vanet data dissemination method routing protocol,A comprehensive survey on data communication invehicular AdHoc networks,1,vehicular network
blockchain internet things security vehicular network,A Distributed Blockchain Based Vehicular Network Architecture in Smart City,1,vehicular network
vehicular ad hoc network fast handover authentication,A Fast-Handover-Supported Authentication,1,vehicular network
binary classification machine learning misbehavior detection multiple classifications vanets,A new procedure for misbehavior detection in vehicular ad-hoc networks using machine learning,0,architecture software
routing protocol trust vanet vehicular ad hoc networks,A New Trusted Routing Protocol for Vehicular Ad Hoc Networks Using Trusted Metrics,1,vehicular network
vanet manet aodv aodv fn simulation routing protocol,A Noble Routing Protocol for Vehicular ad hoc Networks (VANETs) with Less Routing Overheads,1,vehicular network
vehicular networks   clustering schemes vanet ch election,A novel algorithm to form stable clusters in vehicular ad hoc networks on highways,1,vehicular network
vanets clustering connectivity cluster lifetime cluster head,A Novel Clustering Scheme in Vehicular Ad hoc Network,0,architecture software
vanet cryptographic on board unit road side unit dsrc security threat,A Review of Vehicular Ad-Hoc Networks and Its Security Challenges,1,vehicular network
vehicular ad hoc networks authentication petri nets conditional privacy preservation traceability,A SECURE AGGREGATED MESSAGE AUTHENTICATION SCHEME FOR VEHICULAR AD HOC NETWORKS,1,vehicular network
vanet geocast data dissemination mobility patterns data mining,A Smart Data Dissemination Protocol for Vehicular Ad-hoc Networks,0,architecture software
ad hoc networks vanet handover eaodv,A STOCHASTIC MOBILE DATA TRAFFIC MODEL FOR VEHICULAR,1,vehicular network
ad hoc network wmn wsn manet,A Study of Ad-Hoc Network A Review,1,vehicular network
aodv  link reliability routing reliability vannets congestion,A Study of Reliable Routing Protocols for Vehicular Adhoc Networks,0,architecture software
vehicular ad hoc network   communication urban scenario forwarding strategy greedy routing protocol,A SURVEY OF UNICAST ROUTING PROTOCOLS BASEDGREEDY FORWARDING STRATEGIES FOR VEHICULAR AD HOC NETWORKS IN URBAN SCENARIO,1,vehicular network
communication   communication handoff location management research issues,A Survey on Mobility Management Techiques in Vehicular Ad-hoc Network,0,architecture software
intelligent transport system mobility routing protocols topology vehicular ad hoc networks,A Survey on Routing Protocols for Vehicular  Ad-Hoc Networks,1,vehicular network
authentication security challenges sybil attack vanet introduction,A Survey on Security Challenges and Malicious  Vehicle Detection in Vehicular Ad Hoc Networks,1,vehicular network
intrusion detection system mobile ad hoc network sybil attack vehicular ad hoc network,A Survey on Sybil Attack Detection in Vehicular  Ad hoc Networks (VANET),1,vehicular network
vanet ieee  wave phy wave mac simulators modeling,A Synopsis of Simulation and Mobility Modeling in Vehicular Ad-hoc Networks (VANETs),0,architecture software
security vanet systematic literature review introduction vehicular ad hoc network vanet class ad hoc network consists vehicles road side units rsus vanet originally created enhance safety road using,A Systematic Review of Security in Vehicular Ad Hoc Network,1,vehicular network
geographical routing challenges mobility systematic protocols,A Systematic Review on Routing Protocols of Vehicular Ad Hoc Networks,1,vehicular network
vanet routing protocol trust analytic hierarchy,A Trust-based Stable Routing Protocol in Vehicular ad-hoc Networks,1,vehicular network
vanets wireless communication traffic behavior,ACCIDENT WARNING SYSTEM BASED ON VEHICULAR AD-HOC NETWORK (VANET) A REVIEW,0,architecture software
intelligent transportation systems vanet common object request broker archi tecture computer vision technologies trafc management applications,ACollaborative Framework for Traffic Information in Vehicular Adhoc Network Application,0,architecture software
vehicular ad hoc networks security road side units rsu,Advanced Security Attacks on H OC Network Vehicular (VANET),1,vehicular network
vehicular ad hoc networks vanets integration frame work,Ad_Hoc_Based_Vehcular_Networking_and_Com,1,vehicular network
attack road side unit security service vanet,AfterPublishedOnline19Aug2018,1,vehicular network
algorithm vanet costing function analysis,Algorithm_to_Detect_Spurious_Communicati,0,architecture software
vehicular ad hoc network spatiotemporal multicast mobicast routing,AMobicast Routing Protocol in Vehicular Ad-Hoc Networks,1,vehicular network
authentication elliptic curve cryptography mobile ad hoc networks vehicular ad hoc networks wire less communication,An Efficient and Practical Authenticated Communication Scheme for Vehicular Ad Hoc Networks,1,vehicular network
vehicular ad hoc network fuzzy  means  leach ieee  protocol energy consumption network latency,An Efficient Cluster based Routing Protocol using Hybrid FCM-Q LEACH for Vehicular Ad Hoc Networks,1,vehicular network
conditional privacy preserving time bound signa ture vehicular ad network vanet batch verication pseudo identity,"An Efficient, Secure and Conditional Privacy-Preserving Authentication Scheme for Vehicular Ad-hoc Networks",1,vehicular network
realistic mobility model simulation vanet inter vehicle communication vehicular network ad hoc net work routing greedy forwarding broadcasting,An Evaluation of Inter-Vehicle Ad Hoc Networks Based on Realistic Vehicular Traces,1,vehicular network
wireless ad hoc network manet and wireless network,AN OVERVIEW OF MANET AD HOC NETWORK,1,vehicular network
networking vanet protocols standards routing security broadcasting simulation,Analytical Model for Connectivity in Vehicular Ad Hoc Networks,1,vehicular network
anonymity privacy security  closeness vanet introduction traffic safety become important concern safety human lives the statistics shows number road accidents occur india crossed mark the,Anonymization Based Location Privacy Preservation in Vehicular Ad Hoc Networks,0,architecture software
clustering vehicular ad hoc networks,ANovel Multi hop Clustering Scheme for Vehicular Ad Hoc Networks,1,vehicular network
manetsvanets information dissemination broadcasting protocols simulations performance evaluation,An_adaptive_approach_for_information_dis,0,architecture software
roadside unit wave vsc camp vii,Applications of VANETs Present & Future,0,architecture software
car to car communication car to infrastructure communication routing data dissemination,Application_Driven_Routing_for_Vehicular_Ad_Hoc_Ne,0,architecture software
vehicular ad hoc network incentive bitcoin pseudonymity,AReliable Incentive Scheme Using Bitcoin on Cooperative Vehicular Ad Hoc Networks,1,vehicular network
vehicular communication data dissemination routing disruption tolerant networking,Asurvey and challenges in routing and data dissemination in vehicular ad hoc networks,1,vehicular network
vehicular ad hoc network sybil attack certification authority,ASurveyonSybilAttackinVehicularAd-hocNetwork,1,vehicular network
vanets aodv gpsr security intrusion misbehaviour attacks blackhole flooding dropping bogus information,AttackAnalysisVANETs,0,architecture software
vanets security attacks blackhole bogus information introduction,ATTACK_ANALYSIS_IN_VEHICULAR_AD_HOC_NETW,0,architecture software
roadside unit deployment vehicular ad hoc networks optimization powell method krill herd,Augmented Powell-Based Krill Herd Optimization for Roadside Unit Deployment in Vehicular Ad Hoc Networks,1,vehicular network
cognitive radio data communication vanet data security,Authentication for Security for Vehicular Adhoc Networks using Cognitive Radio Networks,0,architecture software
authentication privacy threshold cryptogra phy vehicular networks,Authentication vs. Privacy within Vehicular Ad Hoc Networks,1,vehicular network
vanet safety applications vanet simulation challenges vanet,A_comprehensive_survey_on_vehicular_Ad_H,1,vehicular network
ad hoc network manet ieee  vanet,A_Detail_Survey_on_Applications_of_Vehic,1,vehicular network
routing vanets ad hoc protocol architecture,A_DYNAMIC_ROUTING_STATEGY_FOR_VEHICULAR_AD-H,1,vehicular network
signcryption current coverage area cca ca node single hop transmission multi hop transmission,A_Novel_Approach_for_Providing_Security,0,architecture software
flying ad hoc networks routing active reactive topology introduction mobile ad hoc networks manets widely used various applications expanded flying ad hoc networks fanets improved version uses,A_Novel_Hybrid_Secure_Routing_for_Flying,1,vehicular network
vanet vehicular ad hoc network wireless security,A_novel_secure_communication_scheme_in_v,1,vehicular network
delay bounded routing manet routing protocols vanet,A_Review_of_Various_Routing_Protocols_in_VANET,1,vehicular network
deep belief network deep learning intrusion detection vehicular ad hoc network vanet,A_Review_on_Intrusion_Detection_System_i,1,vehicular network
vehicular ad hoc network vanet dynamic clustering quality service stability,A_stable_clustering_scheme_based_on_adap,1,vehicular network
fanet ad hoc network uavs manet vanet mobility model,A_Survey_Different_Mobility_Model_for_FA,1,vehicular network
vehicular ad hoc network vanet manet its   greedy forwarding carry and forward,A_Survey_of_Routing_Protocols_for_Vehicular_Ad-hoc,1,vehicular network
vanet route routing protocols topology based position based  ,A_Survey_of_Vehicular_Ad_hoc_Networks_Ro,1,vehicular network
vanet security attacks black hole attack grey hole attack omnet introduction  wireless ad hoc network wanet manet decentralized type wireless network the network ad hoc rely pre existing,A_SURVEY_ON_BLACK_HOLE_and_GRAY_HOLE_ATT,1,vehicular network
ad hoc networks vanet macro mobility micro mobility mobility model,A_Survey_on_Mobility_Models_for_Vehicula,1,vehicular network
vehicular ad hoc network security privacy attack vehicle challenges,A_Survey_on_Possible_Attacks_in_Vehicula,1,vehicular network
vanet routing protocol     reactive proactive hybrid,A_Survey_on_Topology_and_Position_Based,1,vehicular network
vehicle ad hoc networks routing protocols to pology geocast routing challenges optimisation,A_Survey_on_Vehicular_Ad-Hoc_Networks_Routing_Prot,1,vehicular network
hybrid vanet  vanet hybrid vanet wsn hybrid clock synchronization hcs,A_Time_Synchronized_Hybrid_Vehicular_Ad,0,architecture software
communications adaptive beaconing transmission power beacon rate contention window,Beaconing Approaches in Vehicular Ad Hoc Networks A Survey,0,architecture software
big data intelligent transportation systems machine learning traffic congestions prediction traffic management vehicular ad hoc network,Big_data_traffic_management_in_vehicular,1,vehicular network
vanet manet shwm drsc obu cbvanet cbshwm date submission september date acceptance november introduction in vanet vehicles considered nodes the vehicles,CBVANET A Cluster Based Vehicular Adhoc Network Model for Simple Highway,0,architecture software
clustering routing protocols vehicular ad hoc network vanet     its,Clustering based Routing Protocols in  Vehicular Ad-hoc Networks A Review,1,vehicular network
ad hoc networks vehicular networks clustering afnity propagation,Clustering in Vehicular Ad Hoc Networks using Affinity Propagation,1,vehicular network
vanet routing protocols    ,Comparative Study of Routing Protocols in Vehicular Ad-Hoc Networks (VANETs),1,vehicular network
vanet routing protocols ieee  urban scenario qos ns vanetmobisim,Comparative Study of Routing Protocols Performance for Vehicular  Ad-hoc Networks,1,vehicular network
simulation vanet mobility model jistswans itetris vanetmobisim sumo veins trans move,Comparative_Analysis_of_Network_Simulato,0,architecture software
vehicular topology mobility routing,Comparison of Topology Based Protocols of Vehicular Ad hoc Network,1,vehicular network
vanet manet aodv dsr qualnet,Comparison_of_AODV_and_DSR_Routing_Protocols_by_Us,1,vehicular network
vanet position protocols,Comparison_of_position_based_routing_pro,1,vehicular network
vanet adhoc network security issues,Comprehensive Study on security issues and characteristics in Vehicular Adhoc Networks,1,vehicular network
vanet sdn   data dissemination open flow,Data_Dissemination_in_Software_Defined_V,0,architecture software
its vanet misbehavior detection malicious data verification,Data_Verification_and_Misbehavior_Detection_in_Veh,0,architecture software
vanet inter vehicle communication vehicular network ad hoc network routing minimum cost forwarding delay,Delay bounded Routing in Vehicular Ad-hoc Networks,1,vehicular network
nodes road segment road side units sybil attack vehicles pseudonyms,Detection_of_Sybil_Attacks_in_Vehicular,0,architecture software
intrusion detection packet delivery ratio security sybil attack vehicular ad hoc networks,Detection_of_Sybil_attack_in_vehicular_a,1,vehicular network
vehicular ad hoc network flat routing optimization energy efficiency life time qos mhc approach,Development of Multi-Hop Clustering Approach for Vehicular Ad-hoc Network,1,vehicular network
vanet vehicular ad hoc network mvnd,DoS Attack Detection in Vehicular Ad-Hoc Network Usin Malicious Node Detection Algorithm,1,vehicular network
vehicular network ad hoc network heterogeneous network dynamic spectrum management optimization,Dynamic Spectrum Management with Movement Prediction in Vehicular AdHocNetworks,1,vehicular network
beacon messages congestion control event driven messages ieee ,DynamicCongestionControlAlgorithmforVehicularAd-hocNetworks,0,architecture software
wireless adhoc network vehicular adhoc network collision avoidance erpca hybrid routing,EFFICIENT ROUTING PROTOCOL WITH COLLISION AVOIDANCE IN VEHICULAR NETWORKS,1,vehicular network
vehicular ad hoc networks vanet mobile adhoc networks manet routing protocols,Efficient Routing Protocols For Vehicular Adhoc Network,1,vehicular network
vanet rsu load balance routing,Efficient RSU Selection Approaches for Load Balancing in Vehicular Ad Hoc Networks,1,vehicular network
attacker attacks victims node dos ddos etc,Efficient_and_Secure_communication_in_Ve,0,architecture software
broadcasting vanet broadcast storm problem broadcast suppression techniques,EFFICIENT_BROADCASTING_MECHANISMS_FOR_DA,0,architecture software
energy efficient routing intelligent transportation system dissimilar networks vehicular clouds system journal green engineering vol alpha publishers all rights reserved,Energy Efficient Routing and LBK for Secure Communication in Vehicular Adhoc Network with End- To-End Authentication,0,architecture software
game theoretical model mobile ad hoc networks optimal resource utilization ecient routing angle based geographical area selection,Enhanced Resource Allocation in Vehicular Adhoc Networks using Colonel Blotto Game Model,1,vehicular network
cooperation self management vehicular network security,ENHANCING COOPERATION IN WIRELESS VEHICULAR NETWORKS,1,vehicular network
vehicular ad hoc network video streaming routing protocol aodv aomdv dsr dsdv,Evaluation and comparison study of video streaming routing protocols in vehicular ad hoc networks,1,vehicular network
